City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Tuktoyaktuk,CA,69.4541,-133.0374,50.0,81,100,10.36,Overcast clouds
1,Jamestown,US,42.097,-79.2353,78.53,55,40,9.22,Scattered clouds
2,Baykit,RU,61.67,96.37,51.69,93,84,2.3,Broken clouds
3,Busselton,AU,-33.65,115.3333,47.79,85,0,9.62,Clear sky
4,Lewistown,US,40.5992,-77.5714,86.34,65,40,6.91,Scattered clouds
5,Chokurdakh,RU,70.6333,147.9167,51.93,51,11,18.14,Few clouds
6,Zhanaozen,KZ,43.3,52.8,78.04,36,1,12.39,Clear sky
7,Barrow,US,71.2906,-156.7887,51.82,76,100,25.32,Light rain
8,Bengkulu,ID,-3.8004,102.2655,73.63,88,100,12.93,Moderate rain
9,Vaini,TO,-21.2,-175.2,77.16,94,75,12.66,Broken clouds
10,Raudeberg,NO,61.9875,5.1352,63.27,86,40,5.26,Scattered clouds
11,Bethel,US,41.3712,-73.414,85.73,45,20,10.36,Few clouds
12,Cabo Rojo,PR,18.0866,-67.1457,89.98,77,97,1.99,Overcast clouds
13,Panama City,PA,8.9936,-79.5197,86.94,74,40,12.66,Scattered clouds
14,Georgetown,MY,5.4112,100.3354,76.95,99,40,5.01,Scattered clouds
15,Jaisalmer,IN,26.9147,70.9181,87.91,63,78,25.08,Broken clouds
16,Albany,US,42.6001,-73.9662,83.05,42,83,3.0,Broken clouds
17,Hermanus,ZA,-34.4187,19.2345,61.7,59,11,5.59,Few clouds
18,Airai,TL,-8.9266,125.4092,59.72,98,93,3.74,Overcast clouds
19,Rikitea,PF,-23.1203,-134.9692,72.25,77,68,13.89,Light rain
20,Kapaa,US,22.0752,-159.319,82.38,71,100,14.97,Overcast clouds
21,Hobart,AU,-42.8794,147.3294,48.06,87,75,9.22,Broken clouds
22,Atuona,PF,-9.8,-139.0333,77.36,81,23,21.07,Few clouds
23,Minot,US,48.2325,-101.2963,80.82,54,0,8.05,Clear sky
24,Smithers,CA,54.7804,-127.1743,68.32,68,40,4.61,Scattered clouds
25,Cascas,PE,-7.4833,-78.8167,73.51,46,0,6.96,Clear sky
26,Bredasdorp,ZA,-34.5322,20.0403,58.78,58,43,3.58,Scattered clouds
27,Yar-Sale,RU,66.8333,70.8333,43.65,66,100,21.03,Overcast clouds
28,Pasni,PK,25.2631,63.471,82.98,88,100,9.35,Overcast clouds
29,Ushuaia,AR,-54.8,-68.3,37.02,64,40,5.75,Scattered clouds
30,Akdepe,TM,42.0551,59.3788,84.29,37,0,16.33,Clear sky
31,Ziyang,CN,29.2497,117.8547,74.28,96,100,3.89,Light rain
32,Narsaq,GL,60.9167,-46.05,46.62,93,100,3.22,Overcast clouds
33,San Patricio,US,28.017,-97.5169,95.18,54,89,10.09,Overcast clouds
34,Tura,IN,25.5198,90.2201,73.26,97,100,4.18,Overcast clouds
35,New Port Richey,US,28.2442,-82.7193,95.2,64,16,5.99,Few clouds
36,Pilar Do Sul,BR,-23.8131,-47.7164,63.61,71,4,5.48,Clear sky
37,Alindao,CF,5.0267,21.2088,70.02,90,28,1.61,Scattered clouds
38,Kayerkan,RU,69.3497,87.7602,53.53,66,92,13.49,Overcast clouds
39,Kurilsk,RU,45.2333,147.8833,47.19,95,98,7.63,Overcast clouds
40,Ribeira Grande,PT,38.5167,-28.7,70.2,88,75,5.75,Broken clouds
41,Bluff,NZ,-46.6,168.3333,45.81,80,100,19.39,Overcast clouds
42,Portland,US,45.5234,-122.6762,75.81,55,20,5.75,Few clouds
43,Morro Bay,US,35.3658,-120.8499,100.38,53,22,8.99,Few clouds
44,Mmabatho,ZA,-25.85,25.6333,49.51,50,4,6.24,Clear sky
45,Vershino-Shakhtaminskiy,RU,51.3012,117.8868,63.84,63,42,2.71,Scattered clouds
46,Ancud,CL,-41.8697,-73.8203,44.22,83,62,11.1,Light rain
47,Spearfish,US,44.4908,-103.8594,97.88,32,40,25.32,Scattered clouds
48,Staryy Nadym,RU,65.6118,72.6842,45.88,66,100,18.03,Overcast clouds
49,Khatanga,RU,71.9667,102.5,48.06,57,4,10.98,Clear sky
50,Tasiilaq,GL,65.6145,-37.6368,42.96,91,100,5.32,Overcast clouds
51,Marzuq,YE,14.4,46.4667,82.44,17,83,3.31,Broken clouds
52,Kavieng,PG,-2.5744,150.7967,80.76,76,100,5.03,Light rain
53,Te Anau,NZ,-45.4167,167.7167,46.69,92,100,7.2,Overcast clouds
54,Hendaye,FR,43.3717,-1.7738,63.36,93,100,2.3,Overcast clouds
55,Namatanai,PG,-3.6667,152.4333,79.23,82,100,6.4,Light rain
56,Longyearbyen,SJ,78.2186,15.6401,44.44,93,75,3.44,Broken clouds
57,Cape Town,ZA,-33.9258,18.4232,66.38,56,0,8.05,Clear sky
58,Mapiripan,CO,2.8892,-72.1256,81.9,80,47,3.06,Scattered clouds
59,Shitanjing,CN,39.2342,106.3439,67.17,55,6,3.98,Clear sky
60,Zarasai,LT,55.7333,26.25,65.62,96,38,4.94,Scattered clouds
61,Misratah,LY,32.3754,15.0925,84.56,51,14,10.25,Few clouds
62,Sitarganj,IN,28.9333,79.7,78.8,83,99,12.12,Moderate rain
63,Adrar,MR,20.5022,-10.0711,95.77,15,0,11.16,Clear sky
64,Salinopolis,BR,-0.6136,-47.3561,80.4,81,5,11.54,Clear sky
65,Labuhan,ID,-6.8844,112.2051,74.97,84,23,9.73,Few clouds
66,Hofn,IS,64.2539,-15.2082,51.04,89,43,6.53,Scattered clouds
67,Cidreira,BR,-30.1811,-50.2056,55.56,73,0,11.54,Clear sky
68,Qaanaaq,GL,77.484,-69.3632,45.81,52,11,2.26,Few clouds
69,College,US,64.8569,-147.8028,73.99,51,75,4.61,Smoke
70,Gat,IL,31.61,34.7642,77.81,100,0,6.35,Clear sky
71,Marsa Matruh,EG,31.3525,27.2453,77.2,69,0,17.27,Clear sky
72,Buffalo,US,42.8865,-78.8784,75.49,58,40,13.8,Scattered clouds
73,Victoria,HK,22.2855,114.1577,82.96,91,72,7.0,Light rain
74,Ambon,ID,-3.6954,128.1814,77.23,15,40,4.61,Scattered clouds
75,Sampit,ID,-2.5333,112.95,73.08,99,96,1.63,Light rain
76,Punta Arenas,CL,-53.15,-70.9167,37.51,81,40,18.41,Scattered clouds
77,New Norfolk,AU,-42.7826,147.0587,47.7,82,57,1.99,Broken clouds
78,Okhotsk,RU,59.3833,143.3,51.96,92,100,3.2,Overcast clouds
