City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
58,Nagram,IN,2022-06-28 22:29:07,26.6167,81.1333,82.45,64,100,9.84
59,Chokurdakh,RU,2022-06-28 22:29:07,70.6333,147.9167,46.72,51,29,12.62
60,Klaksvik,FO,2022-06-28 22:29:08,62.2266,-6.589,52.72,97,100,22.62
61,Puerto Ayora,EC,2022-06-28 22:29:08,-0.7393,-90.3518,73.36,88,26,8.99
62,Punta Arenas,CL,2022-06-28 22:24:16,-53.15,-70.9167,39.31,87,75,6.91
63,Gornyy,RU,2022-06-28 22:29:09,55.1153,83.9059,50.47,84,72,6.15
64,Noyabrsk,RU,2022-06-28 22:29:09,63.1994,75.4507,52.43,83,100,13.78
65,Pangnirtung,CA,2022-06-28 22:29:10,66.1451,-65.7125,41.0,87,75,5.75
66,Port Elizabeth,ZA,2022-06-28 22:29:10,-33.918,25.5701,57.31,60,0,6.91
67,Paamiut,GL,2022-06-28 22:29:11,61.994,-49.6678,44.78,84,100,44.29
68,Baykit,RU,2022-06-28 22:29:11,61.67,96.37,55.15,80,79,12.59
69,North Bend,US,2022-06-28 22:29:12,43.4065,-124.2243,72.25,88,100,6.91
70,Upernavik,GL,2022-06-28 22:29:12,72.7868,-56.1549,38.91,80,16,9.13
71,Yar-Sale,RU,2022-06-28 22:29:13,66.8333,70.8333,41.7,70,4,21.27
72,Norman Wells,CA,2022-06-28 22:29:13,65.282,-126.8329,80.64,29,75,10.36
73,Cairns,AU,2022-06-28 22:29:14,-16.9167,145.7667,70.11,78,100,14.97
74,Avarua,CK,2022-06-28 22:29:14,-21.2078,-159.775,80.65,61,9,3.44
75,Cururupu,BR,2022-06-28 22:29:15,-1.8283,-44.8683,75.43,88,29,2.73
76,Saint-Philippe,RE,2022-06-28 22:29:15,-21.3585,55.7679,63.99,76,87,13.47
77,Ponta Do Sol,PT,2022-06-28 22:29:16,32.6667,-17.1,67.01,54,7,6.58
78,Mataura,NZ,2022-06-28 22:29:16,-46.1927,168.8643,47.48,80,100,5.75
79,Sept-Iles,CA,2022-06-28 22:26:02,50.2001,-66.3821,68.0,59,75,12.66
80,Mar Del Plata,AR,2022-06-28 22:29:17,-38.0023,-57.5575,55.09,59,0,4.61
81,Barabinsk,RU,2022-06-28 22:29:18,55.3571,78.357,53.91,76,82,10.13
82,Lebu,CL,2022-06-28 22:29:18,-37.6167,-73.65,53.65,92,100,22.26
83,Bowen,AU,2022-06-28 22:29:19,-20.0167,148.2333,70.39,71,100,20.56
84,Pionki,PL,2022-06-28 22:29:19,51.476,21.4499,69.06,32,100,4.63
85,Kushikino,JP,2022-06-28 22:29:20,31.7167,130.2667,80.06,89,91,6.71
86,Slonim,BY,2022-06-28 22:29:21,53.0867,25.3219,66.27,84,90,3.13
87,Jining,CN,2022-06-28 22:29:21,35.405,116.5814,77.23,79,38,4.83
88,Ambovombe,MG,2022-06-28 22:29:22,-25.1667,46.0833,64.11,67,55,15.1
89,Lira,UG,2022-06-28 22:29:22,2.235,32.9097,62.11,89,7,4.74
90,Kununurra,AU,2022-06-28 22:25:47,-15.7667,128.7333,62.58,63,92,8.05
91,Ketchikan,US,2022-06-28 22:29:23,55.3422,-131.6461,57.67,88,75,12.66
